ID;Title;Family;Group;Type;Entity;IsCluster 
15652;Femur head;Nature;Bodies;Life component;Musculoskeletal system;False
15653;Pyelectasis;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
15654;International cooperation;Science;Disciplines;;;False
15655;Parakeratosis;Nature;Phenomena;Biological phenomenon;Skin and connective tissue diseases;False
15656;Hydroquinones;Nature;Bodies;Molecule;Organic chemicals;False
15657;Dna (cytosine-5-)-methyltransferases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15658;Methylophilus;Nature;Bodies;Organism;Bacteria;False
15659;Testis;Nature;Bodies;Life component;Endocrine system;False
15660;Mercaptoethylamines;Nature;Bodies;Molecule;Organic chemicals;False
15661;Evolution(molecular);Nature;Phenomena;Biological phenomenon;Biological phenomena;False
15662;Docosahexaenoic acids;Nature;Bodies;Molecule;Lipids;False
15663;Protein transport;Nature;Phenomena;Biological phenomenon;Metabolism;False
15664;Mycetozoa;Nature;Bodies;Organism;Eukaryota;False
15665;Cuscuta;Nature;Bodies;Organism;Eukaryota;False
15666;Skin manifestations;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15667;Enterobactin;Nature;Bodies;Molecule;Amino acids(peptides);False
15668;Interferon-alpha;Nature;Bodies;Molecule;Amino acids(peptides);False
15669;Hydrobromic acid;Nature;Bodies;Molecule;Inorganic chemicals;False
15670;Central nervous system neoplasms;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15671;Cymbopogon;Nature;Bodies;Organism;Eukaryota;False
15672;Chromosomes(artificial);Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15673;Geobacter;Nature;Bodies;Organism;Bacteria;False
15674;Ice;Nature;Bodies;Molecule;Inorganic chemicals;False
15675;Receptors(guanylate cyclase-coupled);Nature;Bodies;Molecule;Amino acids(peptides);False
15676;Bassia scoparia;Nature;Bodies;Organism;Eukaryota;False
15677;Climatotherapy;Technology;Know-how;Treatment;Therapeutics;False
15678;Kidney tubular necrosis(acute);Nature;Phenomena;Biological phenomenon;Male urogenital diseases;False
15679;Cytochrome p450 family 3;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15680;Dental instruments;Technology;Manufactured objects;;;False
15681;Receptors(immunologic);Nature;Bodies;Molecule;Amino acids(peptides);False
15682;Contraceptives(oral);Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15683;Trazodone;Nature;Bodies;Molecule;Heterocyclic compounds;False
15684;Receptors(invertebrate peptide);Nature;Bodies;Molecule;Amino acids(peptides);False
15685;Large-conductance calcium-activated potassium channel beta subunits;Nature;Bodies;Molecule;Amino acids(peptides);False
15686;Helicobacter felis;Nature;Bodies;Organism;Bacteria;False
15687;Adenosine triphosphatases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15688;Technetium compounds;Nature;Bodies;Molecule;Inorganic chemicals;False
15689;Thiones;Nature;Bodies;Molecule;Inorganic chemicals;False
15690;Ovarian function tests;Technology;Know-how;Process;Diagnosis;False
15691;Electromagnetic radiation;Nature;Phenomena;;;False
15692;Patient transfer;Technology;Know-how;Treatment;Therapeutics;False
15693;Rhamnose;Nature;Bodies;Molecule;Carbohydrates;False
15694;Dna shuffling;Technology;Know-how;Technique;Investigative techniques;False
15695;Transposases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15696;Cyclic adp-ribose;Nature;Bodies;Molecule;Nucleic acids(nucleotides);False
15697;Leukemia l5178;Nature;Phenomena;Biological phenomenon;Neoplasms;False
15698;Telepathy;Nature;Phenomena;;;False
15699;Diamfenetide;Nature;Bodies;Molecule;Organic chemicals;False
15700;Palpation;Technology;Know-how;Process;Diagnosis;False
15701;Cyclic nucleotide phosphodiesterases(type 3);Nature;Bodies;Molecule;Amino acids(peptides);False
15702;Smiling;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
15703;Pyrethrins;Nature;Bodies;Molecule;Organic chemicals;False
15704;Afferent loop syndrome;Nature;Phenomena;Biological phenomenon;Digestive system diseases;False
15705;Lassa fever;Nature;Phenomena;Biological phenomenon;Virus diseases;False
15706;Discrete subaortic stenosis;Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
15707;Protein c inhibitor;Nature;Bodies;Molecule;Amino acids(peptides);False
15708;Glucan endo-1(3-beta-d-glucosidase);Nature;Bodies;Molecule;Enzymes and coenzymes;False
15709;Catastrophization;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
15710;Pyridoxine;Nature;Bodies;Molecule;Heterocyclic compounds;False
15711;Toe joint;Nature;Bodies;Life component;Musculoskeletal system;False
15712;Microscopy;Technology;Know-how;Process;Diagnosis;False
15713;Asparagaceae;Nature;Bodies;Organism;Eukaryota;False
15714;Ubiquitins;Nature;Bodies;Molecule;Amino acids(peptides);False
15715;Transendothelial and transepithelial migration;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
15716;Thermoanaerobacter;Nature;Bodies;Organism;Bacteria;False
15717;Glucagon;Nature;Bodies;Molecule;Amino acids(peptides);False
15718;Shiga-toxigenic escherichia coli;Nature;Bodies;Organism;Bacteria;False
15719;Irritants;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15720;Gastrectomy;Technology;Know-how;Procedure;Surgical procedures(operative);False
15721;Cefadroxil;Nature;Bodies;Molecule;Heterocyclic compounds;False
15722;Kyphoplasty;Technology;Know-how;Procedure;Surgical procedures(operative);False
15723;Beak;Nature;Bodies;Life component;Animal structures;False
15724;Pyrogallol;Nature;Bodies;Molecule;Organic chemicals;False
15725;Sulfobromophthalein;Nature;Bodies;Molecule;Organic chemicals;False
15726;Receptors(thrombin);Nature;Bodies;Molecule;Amino acids(peptides);False
15727;Vesicovaginal fistula;Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
15728;Radiotherapy(high-energy);Technology;Know-how;Treatment;Therapeutics;False
15729;Esophageal and gastric varices;Nature;Phenomena;Biological phenomenon;Digestive system diseases;False
15730;Zona fasciculata;Nature;Bodies;Life component;Endocrine system;False
15731;Ww domains;Nature;Phenomena;;;False
15732;Cathelicidins;Nature;Bodies;Molecule;Amino acids(peptides);False
15733;12e7 antigen;Technology;Manufactured chemicals;Molecule;Biological factors;False
15734;Endoscopy(gastrointestinal);Technology;Know-how;Process;Diagnosis;False
15735;Conjunctival neoplasms;Nature;Phenomena;Biological phenomenon;Neoplasms;False
15736;Cardiomyopathy(dilated);Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
15737;Strontium;Nature;Bodies;Molecule;Inorganic chemicals;False
15738;Hamstring tendons;Nature;Bodies;Life component;Musculoskeletal system;False
15739;Opisthorchiasis;Nature;Phenomena;Biological phenomenon;Parasitic diseases;False
15740;Virulence factors(bordetella);Technology;Manufactured chemicals;Molecule;Biological factors;False
15741;Theft;Science;Disciplines;;;False
15742;Hyperventilation;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15743;Arterial switch operation;Technology;Know-how;Procedure;Surgical procedures(operative);False
15744;Card signaling adaptor proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15745;Liniments;Technology;Manufactured chemicals;Molecule;Pharmaceutical preparations;False
15746;20-alpha-dihydroprogesterone;Nature;Bodies;Molecule;Hormones(hormone substitutes);False
15747;Drugs(chinese herbal);Technology;Manufactured chemicals;Molecule;Pharmaceutical preparations;False
15748;Nitroimidazoles;Nature;Bodies;Molecule;Organic chemicals;False
15749;Enclomiphene;Nature;Bodies;Molecule;Organic chemicals;False
15750;Ferm domains;Nature;Phenomena;;;False
15751;Fabaceae;Nature;Bodies;Organism;Eukaryota;False
15752;Cyclic nucleotide-regulated protein kinases;Nature;Bodies;Molecule;Amino acids(peptides);False
15753;Smear layer;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
15754;Pain(referred);Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15755;Sisomicin;Nature;Bodies;Molecule;Carbohydrates;False
15756;Salmo salar;Nature;Bodies;Organism;Eukaryota;False
15757;Polysomnography;Technology;Know-how;Process;Diagnosis;False
15758;Cordyline;Nature;Bodies;Organism;Eukaryota;False
15759;Enzyme precursors;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15760;Arteriovenous shunt(surgical);Technology;Know-how;Procedure;Surgical procedures(operative);False
15761;Optical restriction mapping;Technology;Know-how;Technique;Investigative techniques;False
15762;Saguinus;Nature;Bodies;Organism;Eukaryota;False
15763;Mice(inbred mrl lpr);Nature;Bodies;Organism;Eukaryota;False
15764;Enterotoxemia;Nature;Phenomena;Biological phenomenon;Animal diseases;False
15765;Lip neoplasms;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
15766;Prochlorococcus;Nature;Bodies;Organism;Bacteria;False
15767;Papio papio;Nature;Bodies;Organism;Eukaryota;False
15768;Sulfonylurea compounds;Nature;Bodies;Molecule;Organic chemicals;False
15769;Molluginaceae;Nature;Bodies;Organism;Eukaryota;False
15770;Dna(antisense);Nature;Bodies;Molecule;Nucleic acids(nucleotides);False
15771;Anatomic landmarks;Nature;Bodies;Life component;Body regions;False
15772;Vagus nerve injuries;Nature;Phenomena;Biological phenomenon;Wounds and injuries;False
15773;Hand dermatoses;Nature;Phenomena;Biological phenomenon;Skin and connective tissue diseases;False
15774;Acholeplasma;Nature;Bodies;Organism;Bacteria;False
15775;Silicosis;Nature;Phenomena;Biological phenomenon;Respiratory tract diseases;False
15776;Cytochrome p-450 cyp2b6 inhibitors;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15777;Cryptococcus;Nature;Bodies;Organism;Eukaryota;False
15778;Tumor protein p73;Nature;Bodies;Molecule;Amino acids(peptides);False
15779;Carcinoma(lewis lung);Nature;Phenomena;Biological phenomenon;Neoplasms;False
15780;Shyness;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
15781;Jumonji domain-containing histone demethylases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15782;Ureter;Nature;Bodies;Life component;Urogenital system;False
15783;Pellagra;Nature;Phenomena;Biological phenomenon;Nutritional and metabolic diseases;False
15784;Mycoplasma infections;Nature;Phenomena;Biological phenomenon;Bacterial infections and mycoses;False
15785;Xenon isotopes;Nature;Bodies;Molecule;Inorganic chemicals;False
15786;General adaptation syndrome;Science;Disciplines;;;False
15787;Aurora kinases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15788;Learning;Nature;Phenomena;;;False
15789;Botrytis;Nature;Bodies;Organism;Eukaryota;False
15790;Hepatitis virus(duck);Nature;Bodies;Organism;Viruses;False
15791;Xenopus proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15792;Receptors(opioid);Nature;Bodies;Molecule;Amino acids(peptides);False
15793;Blastomyces;Nature;Bodies;Organism;Eukaryota;False
15794;Inflammation;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15795;Polysaccharides(bacterial);Technology;Manufactured chemicals;Molecule;Biological factors;False
15796;Indigo carmine;Nature;Bodies;Molecule;Heterocyclic compounds;False
15797;Gammaherpesvirinae;Nature;Bodies;Organism;Viruses;False
15798;Bile duct diseases;Nature;Phenomena;Biological phenomenon;Digestive system diseases;False
15799;Eosinophil major basic protein;Nature;Bodies;Molecule;Amino acids(peptides);False
15800;Bone transplantation;Technology;Know-how;Procedure;Surgical procedures(operative);False
15801;Primitive streak;Nature;Bodies;Life component;Embryonic structures;False
15802;Stomach;Nature;Bodies;Life component;Digestive system;False
15803;Pronephros;Nature;Bodies;Life component;Embryonic structures;False
15804;Nerve regeneration;Nature;Phenomena;Biological phenomenon;Musculoskeletal and neural physiological phenomena;False
15805;Blood-aqueous barrier;Nature;Bodies;Life component;Cardiovascular system;False
15806;Stimulants(historical);Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15807;Blood-nerve barrier;Nature;Bodies;Life component;Cardiovascular system;False
15808;Chromosomes(human);Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15809;Lucanthone;Nature;Bodies;Molecule;Organic chemicals;False
15810;Synbiotics;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
15811;Halobacteriaceae;Nature;Bodies;Organism;Archaea;False
15812;Bupivacaine;Nature;Bodies;Molecule;Heterocyclic compounds;False
15813;Rhadinovirus;Nature;Bodies;Organism;Viruses;False
15814;Quantitative structure-activity relationship;Nature;Phenomena;;;False
15815;Root caries;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
15816;Tryptophan transaminase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15817;Receptor(epha1);Nature;Bodies;Molecule;Amino acids(peptides);False
15818;Solute carrier family 12(member 1);Nature;Bodies;Molecule;Amino acids(peptides);False
15819;Ketorolac;Nature;Bodies;Molecule;Heterocyclic compounds;False
15820;Flurbiprofen;Nature;Bodies;Molecule;Organic chemicals;False
15821;Zygophyllaceae;Nature;Bodies;Organism;Eukaryota;False
15822;Diethylcarbamazine;Nature;Bodies;Molecule;Organic chemicals;False
15823;Closing volume;Technology;Know-how;Process;Diagnosis;False
15824;Cemeteries;Science;Disciplines;;;False
15825;Polycyclic aromatic hydrocarbons;Nature;Bodies;Molecule;Polycyclic compounds;False
15826;Hexosamines;Nature;Bodies;Molecule;Carbohydrates;False
15827;Receptors(tumor necrosis factor);Nature;Bodies;Molecule;Amino acids(peptides);False
15828;Torsion(mechanical);Nature;Phenomena;;;False
15829;Caulerpa;Nature;Bodies;Organism;Eukaryota;False
15830;Inositol phosphates;Nature;Bodies;Molecule;Organic chemicals;False
15831;Herpesviridae infections;Nature;Phenomena;Biological phenomenon;Virus diseases;False
15832;Pancreatitis-associated proteins;Technology;Manufactured chemicals;Molecule;Biological factors;False
15833;Theranostic nanomedicine;Technology;Know-how;Process;Diagnosis;False
15834;Bed rest;Technology;Know-how;Treatment;Therapeutics;False
15835;Trefoil factor-1;Nature;Bodies;Molecule;Amino acids(peptides);False
15836;Muts proteins;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15837;Hair;Nature;Bodies;Life component;Integumentary system;False
15838;Fracture dislocation;Nature;Phenomena;Biological phenomenon;Musculoskeletal diseases;False
15839;Aaa domain;Nature;Phenomena;;;False
15840;Aniline compounds;Nature;Bodies;Molecule;Organic chemicals;False
15841;Tubulina;Nature;Bodies;Organism;Eukaryota;False
15842;Bite force;Technology;Know-how;;;False
15843;Dental veneers;Technology;Manufactured objects;;;False
15844;Golgi-mazzoni corpuscles;Nature;Bodies;Life component;Nervous system;False
15845;Castleman disease;Nature;Phenomena;Biological phenomenon;Hemic and lymphatic diseases;False
15846;Hypertension(malignant);Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
15847;Skin diseases(papulosquamous);Nature;Phenomena;Biological phenomenon;Skin and connective tissue diseases;False
15848;Viscosity;Nature;Phenomena;;;False
15849;Reproductive isolation;Nature;Phenomena;Biological phenomenon;Biological phenomena;False
15850;Vestibular diseases;Nature;Phenomena;Biological phenomenon;Otorhinolaryngologic diseases;False
15851;Fetal hypoxia;Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
15852;Antigens(human platelet);Technology;Manufactured chemicals;Molecule;Biological factors;False
15853;Rna recognition motif proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15854;Endothelins;Nature;Bodies;Molecule;Amino acids(peptides);False
15855;Plant viral movement proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15856;Therapeutic occlusion;Technology;Know-how;Treatment;Therapeutics;False
15857;Blattellidae;Nature;Bodies;Organism;Eukaryota;False
15858;Bcg vaccine;Technology;Manufactured chemicals;Molecule;Complex mixtures;False
15859;Glucosephosphate dehydrogenase deficiency;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
15860;Epistasis(genetic);Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15861;Labyrinth diseases;Nature;Phenomena;Biological phenomenon;Otorhinolaryngologic diseases;False
15862;Receptor(fibroblast growth factor);Nature;Bodies;Molecule;Amino acids(peptides);False
15863;Ecosystem;Nature;Phenomena;Biological phenomenon;Biological phenomena;False
15864;Rhizomucor;Nature;Bodies;Organism;Eukaryota;False
15865;Psychomotor agitation;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15866;Propylbenzilylcholine mustard;Nature;Bodies;Molecule;Organic chemicals;False
15867;Cadmium radioisotopes;Nature;Bodies;Molecule;Inorganic chemicals;False
15868;Pseudomonas fluorescens;Nature;Bodies;Organism;Bacteria;False
15869;Cerebral crus;Nature;Bodies;Life component;Nervous system;False
15870;Airway remodeling;Nature;Phenomena;Biological phenomenon;Circulatory and respiratory physiological phenomena;False
15871;Astragalus gummifer;Nature;Bodies;Organism;Eukaryota;False
15872;Deer;Nature;Bodies;Organism;Eukaryota;False
15873;Bacterial outer membrane proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15874;Aldehydes;Nature;Bodies;Molecule;Organic chemicals;False
15875;Placental circulation;Nature;Phenomena;Biological phenomenon;Circulatory and respiratory physiological phenomena;False
15876;Epilepsia partialis continua;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15877;Least-squares analysis;Technology;Know-how;Technique;Investigative techniques;False
15878;Metric system;Technology;Know-how;Technique;Investigative techniques;False
15879;Chronic disease;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15880;Muscles;Nature;Bodies;Life component;Tissues;False
15881;16(16-dimethylprostaglandin e2);Nature;Bodies;Molecule;Lipids;False
15882;Hiv antigens;Technology;Manufactured chemicals;Molecule;Biological factors;False
15883;Immunotherapy(active);Technology;Know-how;Technique;Investigative techniques;False
15884;Isoptera;Nature;Bodies;Organism;Eukaryota;False
15885;Latent tgf-beta binding proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15886;Cross-linking reagents;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15887;Schistosoma mansoni;Nature;Bodies;Organism;Eukaryota;False
15888;Intussusception;Nature;Phenomena;Biological phenomenon;Digestive system diseases;False
15889;Pinocytosis;Nature;Phenomena;Biological phenomenon;Cell physiological phenomena;False
15890;Aldo-keto reductase family 1 member c2;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15891;Rubredoxins;Nature;Bodies;Molecule;Amino acids(peptides);False
15892;Kv1.6 potassium channel;Nature;Bodies;Molecule;Amino acids(peptides);False
15893;Biogenic monoamines;Nature;Bodies;Molecule;Organic chemicals;False
15894;Agglutinins;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
15895;Coxa valga;Nature;Phenomena;Biological phenomenon;Musculoskeletal diseases;False
15896;Decapoda (crustacea);Nature;Bodies;Organism;Eukaryota;False
15897;Mesocolon;Nature;Bodies;Life component;Body regions;False
15898;Methimazole;Nature;Bodies;Molecule;Organic chemicals;False
15899;Tachycardia(paroxysmal);Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
15900;Metalloids;Nature;Bodies;Molecule;Inorganic chemicals;False
15901;Diet(macrobiotic);Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
15902;Hyperekplexia;Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15903;Antibodies(phospho-specific);Nature;Bodies;Molecule;Amino acids(peptides);False
15904;Actinin;Nature;Bodies;Molecule;Macromolecular substances;False
15905;Cornified envelope proline-rich proteins;Nature;Bodies;Molecule;Amino acids(peptides);False
15906;Rna replicase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15907;Light-curing of dental adhesives;Technology;Know-how;;;False
15908;Quality of life;Science;Disciplines;;;False
15909;Dithioerythritol;Nature;Bodies;Molecule;Organic chemicals;False
15910;Noma;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
15911;Recommended dietary allowances;Science;Disciplines;;;False
15912;Anaerobiospirillum;Nature;Bodies;Organism;Bacteria;False
15913;Life cycle stages;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
15914;Growth hormone-releasing hormone;Nature;Bodies;Molecule;Amino acids(peptides);False
15915;Methadyl acetate;Nature;Bodies;Molecule;Organic chemicals;False
15916;Vinyl compounds;Nature;Bodies;Molecule;Organic chemicals;False
15917;Sympathectomy(chemical);Technology;Know-how;Procedure;Surgical procedures(operative);False
15918;Tendon injuries;Nature;Phenomena;Biological phenomenon;Wounds and injuries;False
15919;Pursuit(smooth);Nature;Phenomena;Biological phenomenon;Ocular physiological phenomena;False
15920;Zolazepam;Nature;Bodies;Molecule;Heterocyclic compounds;False
15921;Olfactometry;Technology;Know-how;Process;Diagnosis;False
15922;Aztreonam;Nature;Bodies;Molecule;Organic chemicals;False
15923;Sarcoma(yoshida);Nature;Phenomena;Biological phenomenon;Neoplasms;False
15924;Fluorescein;Nature;Bodies;Molecule;Organic chemicals;False
15925;Ectoparasitic infestations;Nature;Phenomena;Biological phenomenon;Parasitic diseases;False
15926;Lecithin cholesterol acyltransferase deficiency;Nature;Phenomena;Biological phenomenon;Nutritional and metabolic diseases;False
15927;Cop-coated vesicles;Nature;Bodies;Life component;Cells;False
15928;Bacteroides thetaiotaomicron;Nature;Bodies;Organism;Bacteria;False
15929;Terrorism;Science;Disciplines;;;False
15930;Intravital microscopy;Technology;Know-how;Process;Diagnosis;False
15931;Cyclamen;Nature;Bodies;Organism;Eukaryota;False
15932;Seminiferous epithelium;Nature;Bodies;Life component;Urogenital system;False
15933;Diabetic coma;Nature;Phenomena;Biological phenomenon;Endocrine system diseases;False
15934;Propionates;Nature;Bodies;Molecule;Organic chemicals;False
15935;Trinitrobenzenes;Nature;Bodies;Molecule;Organic chemicals;False
15936;Karyotype;Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15937;Sulfamonomethoxine;Nature;Bodies;Molecule;Organic chemicals;False
15938;Sulfamethoxypyridazine;Nature;Bodies;Molecule;Organic chemicals;False
15939;Receptors(artificial);Nature;Bodies;Molecule;Amino acids(peptides);False
15940;Pemoline;Nature;Bodies;Molecule;Heterocyclic compounds;False
15941;Abortion(threatened);Nature;Phenomena;Biological phenomenon;Female urogenital diseases and pregnancy complications;False
15942;Bioterrorism;Science;Disciplines;;;False
15943;Leishmania mexicana;Nature;Bodies;Organism;Eukaryota;False
15944;Paramethasone;Nature;Bodies;Molecule;Polycyclic compounds;False
15945;Peptide mapping;Technology;Know-how;Technique;Investigative techniques;False
15946;Silene;Nature;Bodies;Organism;Eukaryota;False
15947;Receptors(transforming growth factor beta);Nature;Bodies;Molecule;Amino acids(peptides);False
15948;Anaphylatoxins;Nature;Bodies;Molecule;Amino acids(peptides);False
15949;Lactates;Nature;Bodies;Molecule;Organic chemicals;False
15950;Barotrauma;Nature;Phenomena;Biological phenomenon;Wounds and injuries;False
15951;Halogenated diphenyl ethers;Nature;Bodies;Molecule;Organic chemicals;False
15952;Dielectric spectroscopy;Technology;Know-how;Technique;Investigative techniques;False
15953;Cd13 antigens;Technology;Manufactured chemicals;Molecule;Biological factors;False
15954;Integration host factors;Nature;Bodies;Molecule;Amino acids(peptides);False
15955;Health status indicators;Technology;Know-how;Technique;Investigative techniques;False
15956;Hypoxia-ischemia(brain);Nature;Phenomena;Biological phenomenon;Nervous system diseases;False
15957;Dinucleotide repeats;Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15958;Medicine(african traditional);Technology;Know-how;Treatment;Therapeutics;False
15959;Jaundice;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15960;Vaccines(acellular);Technology;Manufactured chemicals;Molecule;Complex mixtures;False
15961;Parotitis;Nature;Phenomena;Biological phenomenon;Stomatognathic diseases;False
15962;Senecio;Nature;Bodies;Organism;Eukaryota;False
15963;Lentinula;Nature;Bodies;Organism;Eukaryota;False
15964;Pregnancy(quintuplet);Nature;Phenomena;Biological phenomenon;Reproductive and urinary physiological phenomena;False
15965;Cesium;Nature;Bodies;Molecule;Inorganic chemicals;False
15966;Friend murine leukemia virus;Nature;Bodies;Organism;Viruses;False
15967;Colic;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
15968;Behind-the-counter drugs;Technology;Manufactured chemicals;Molecule;Pharmaceutical preparations;False
15969;Conjugation(genetic);Nature;Phenomena;Biological phenomenon;Genetic phenomena;False
15970;Cold-shock response;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
15971;Karoshi death;Nature;Phenomena;Biological phenomenon;Cardiovascular diseases;False
15972;Trimethoprim(sulfamethoxazole drug combination);Nature;Bodies;Molecule;Organic chemicals;False
15973;Maternal behavior;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
15974;Euthyroid sick syndromes;Nature;Phenomena;Biological phenomenon;Endocrine system diseases;False
15975;Pentosyltransferases;Nature;Bodies;Molecule;Enzymes and coenzymes;False
15976;Slit lamp microscopy;Technology;Know-how;Process;Diagnosis;False
15977;Horse diseases;Nature;Phenomena;Biological phenomenon;Animal diseases;False
15978;Heterografts;Nature;Bodies;Life component;Body regions;False
15979;Triclosan;Nature;Bodies;Molecule;Organic chemicals;False
15980;Fat necrosis;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
15981;Pulmonary blastoma;Nature;Phenomena;Biological phenomenon;Neoplasms;False
15982;Cell fusion;Technology;Know-how;Technique;Investigative techniques;False
15983;Laurence-moon syndrome;Nature;Phenomena;Biological phenomenon;Congenital(hereditary);False
15984;Penstemon;Nature;Bodies;Organism;Eukaryota;False
15985;Transitional care;Technology;Know-how;Treatment;Therapeutics;False
15986;Metals(rare earth);Nature;Bodies;Molecule;Inorganic chemicals;False
15987;Torovirus infections;Nature;Phenomena;Biological phenomenon;Virus diseases;False
15988;Literacy;Nature;Phenomena;Psychological phenomenon;Behavior and behavior mechanisms;False
15989;Chromans;Nature;Bodies;Molecule;Heterocyclic compounds;False
15990;Diterpenes(clerodane);Nature;Bodies;Molecule;Organic chemicals;False
15991;Ameloblasts;Nature;Bodies;Life component;Cells;False
15992;Virus release;Nature;Phenomena;Biological phenomenon;Microbiological phenomena;False
15993;Tosyllysine chloromethyl ketone;Nature;Bodies;Molecule;Amino acids(peptides);False
15994;Liver regeneration;Nature;Phenomena;Biological phenomenon;Biological phenomena;False
15995;Rho guanine nucleotide dissociation inhibitor alpha;Nature;Bodies;Molecule;Amino acids(peptides);False
15996;Myocardial reperfusion;Technology;Know-how;Procedure;Surgical procedures(operative);False
15997;Panthera;Nature;Bodies;Organism;Eukaryota;False
15998;Anemia(myelophthisic);Nature;Phenomena;Biological phenomenon;Hemic and lymphatic diseases;False
15999;Antigens(t-independent);Technology;Manufactured chemicals;Molecule;Biological factors;False
16000;Enterohemorrhagic escherichia coli;Nature;Bodies;Organism;Bacteria;False
16001;Tiopronin;Nature;Bodies;Molecule;Amino acids(peptides);False
16002;Artemisia annua;Nature;Bodies;Organism;Eukaryota;False
16003;Cardiorespiratory fitness;Nature;Phenomena;Biological phenomenon;Musculoskeletal and neural physiological phenomena;False
16004;Glycine hydroxymethyltransferase;Nature;Bodies;Molecule;Enzymes and coenzymes;False
16005;Pagetoid reticulosis;Nature;Phenomena;Biological phenomenon;Immune system diseases;False
16006;Antibiotics(antitubercular);Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
16007;Forensic anthropology;Science;Disciplines;;;False
16008;Spermatocidal agents;Technology;Manufactured chemicals;Molecule;Chemical actions and uses;False
16009;Hydroxocobalamin;Nature;Bodies;Molecule;Polycyclic compounds;False
16010;Micelles;Technology;Manufactured chemicals;Molecule;Pharmaceutical preparations;False
16011;Drug synergism;Nature;Phenomena;Biological phenomenon;Physiological phenomena;False
16012;Psychomotor disorders;Nature;Phenomena;Biological phenomenon;Pathological conditions(signs and symptoms);False
16013;Heat shock transcription factors;Nature;Bodies;Molecule;Amino acids(peptides);False
16014;Pluto;Nature;Phenomena;;;False
16015;Encainide;Nature;Bodies;Molecule;Organic chemicals;False
